"symbol","lastPrice","openingPrice","high","low","close","change","trades","volume","value","tradeDate","openToCloseChange","tradesVolumeDivergence","priceOutlier","volumeOutlier","volumeIncreaseNoChange"
"STANBIC",63,63,62,62,62,-1,100,8810100,546376152.1,"07 Feb 25",-0.015873015873015872,"Normal",true,true,false
"STDINSURE",0.2,0.2,,,0.2,,0,,,"07 Feb 25",0,"Normal",false,false,false
"STERLINGNG",5.99,5.99,6.09,5.9,5.95,-0.04,240,22792235,136028804.03,"07 Feb 25",-0.0066777963272120254,"Normal",true,true,false
"SUNUASSUR",5.01,5.01,,,5.01,,26,156941,807989.38,"07 Feb 25",0,"Normal",false,false,false
"TANTALIZER",2.08,2.08,2.06,2,2,-0.08,71,5046472,10114305.7,"07 Feb 25",-0.03846153846153849,"Normal",true,true,false
"THOMASWY",1.85,1.85,,,1.85,,7,101611,204948.56,"07 Feb 25",0,"Normal",false,false,false
"TIP",3.45,3.45,3.58,3.47,3.58,0.13,89,3296948,11233868.06,"07 Feb 25",0.03768115942028982,"Normal",true,true,false
"TOTAL",670,670,,,670,,64,17589,11491449.6,"07 Feb 25",0,"Normal",false,false,false
"TRANSCOHOT",114.65,114.65,,,114.65,,24,7796,846264.25,"07 Feb 25",0,"Normal",false,false,false
"TRANSCORP",53.6,53.6,54,50.05,54,0.4,269,5128305,274749828.3,"07 Feb 25",0.007462686567164152,"Normal",true,true,false
"TRANSEXPR",2,2,,,2,,1,1122,2019.6,"07 Feb 25",0,"Normal",false,false,false
"TRANSPOWER",349.8,349.8,,,349.8,,48,33769,10633858.1,"07 Feb 25",0,"Normal",false,false,false
"TRIPPLEG",2.23,2.23,,,2.23,,10,38350,84196.5,"07 Feb 25",0,"Normal",false,false,false
"UACN",36.05,36.05,,,36.05,,64,550493,19887110.95,"07 Feb 25",0,"Normal",false,false,false
"UBA",38,38,39.4,38,39.15,1.15,461,10139619,394371336,"07 Feb 25",0.030263157894736804,"Normal",true,true,false
"UCAP",22.9,22.9,23.85,23.15,23.85,0.95,342,10187606,238412650.15,"07 Feb 25",0.041484716157205365,"Normal",true,true,false
"UHOMREIT",36.6,36.6,,,36.6,,1,10,352,"07 Feb 25",0,"Normal",false,false,false
"UNILEVER",37.8,37.8,,,37.8,,39,75619,2909363.4,"07 Feb 25",0,"Normal",false,false,false
"UNIONDICON",7.5,7.5,,,7.5,,0,,,"07 Feb 25",0,"Normal",false,false,false
"UNITYBNK",1.51,1.51,,,1.51,,0,,,"07 Feb 25",0,"Normal",false,false,false
"UNIVINSURE",0.69,0.69,0.7,0.65,0.69,0,111,19762865,13509240.12,"07 Feb 25",0,"Normal",false,true,true
"UPDC",2.36,2.59,2.59,2.59,2.59,0.23,42,14939513,38693338.67,"07 Feb 25",0,"Low Trades/High Volume",true,true,false
"UPDCREIT",6.2,6.2,6.2,6.15,6.2,0,45,1115166,6851820.75,"07 Feb 25",0,"Normal",false,false,false
"UPL",5.04,5.04,,,5.04,,21,600307,2831450.1,"07 Feb 25",0,"Normal",false,false,false
"VANLEER",5.45,5.45,,,5.45,,0,,,"07 Feb 25",0,"Normal",false,false,false
"VERITASKAP",1.18,1.18,1.2,1.17,1.17,-0.01,146,12069426,14341962.55,"07 Feb 25",-0.00847457627118645,"Normal",true,true,false
"VFDGROUP",44.4,44.4,,,44.4,,58,566907,24768022.4,"07 Feb 25",0,"Normal",false,false,false
"VITAFOAM",34.35,34.35,37.25,35,37.25,2.9,142,2348466,81863062,"07 Feb 25",0.08442503639010185,"Normal",true,true,false
"WAPCO",70.9,70.9,74.95,71,74.95,4.05,141,6861847,491987603.55,"07 Feb 25",0.057122708039492195,"Normal",true,true,false
"WAPIC",2.49,2.49,2.72,2.32,2.64,0.15,66,2502281,6388022.81,"07 Feb 25",0.060240963855421645,"Normal",true,true,false
"WEMABANK",11.35,11.35,11.35,11,11.35,0,228,8381314,93300137.75,"07 Feb 25",0,"Normal",false,true,true
"ZENITHBANK",50.3,50.3,52,50.5,52,1.7,509,16779525,854785571.4,"07 Feb 25",0.03379721669980125,"Normal",true,true,false
